Block Type	96well																							
Chemistry	SYBR_GREEN																							
Experiment File Name	XXX																							
Experiment Run End Time	XXX																							
Instrument Type	steponeplus																							
Passive Reference	ROX																							
																								
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1
A1	104FL	GAPDH	UNKNOWN	SYBR	None				21.4251708984375	21.4204483032227	0.019655225798488							0	1	1	3	13	1	82.2517395019531
A2	104FL	GAPDH	UNKNOWN	SYBR	None				21.437313079834	21.4204483032227	0.019655225798488							0	1	1	3	14	1	82.2517395019531
A3	104FL	GAPDH	UNKNOWN	SYBR	None				21.3988628387451	21.4204483032227	0.019655225798488							0	1	1	3	14	1	82.4066314697266
																								
																								
																								
																								
																								
																								
A10	104FL	Hoxc13	UNKNOWN	SYBR	None	1.16292405128479	1.03323650360107	1.30888950824738	26.6704387664795	26.5528793334961	0.104587286710739		5.13243103027344	0.061440564692021			-0.217756912112236	0	1	1	3	19	1	85.3909149169922
A11	104FL	Hoxc13	UNKNOWN	SYBR	None	1.16292405128479	1.03323650360107	1.30888950824738	26.4701538085937	26.5528793334961	0.104587286710739		5.13243103027344	0.061440564692021			-0.217756912112236	0	1	1	3	18	1	85.3902587890625
A12	104FL	Hoxc13	UNKNOWN	SYBR	None	1.16292405128479	1.03323650360107	1.30888950824738	26.5180473327637	26.5528793334961	0.104587286710739		5.13243103027344	0.061440564692021			-0.217756912112236	0	1	1	3	18	1	85.3902587890625
B1	106FL	GAPDH	UNKNOWN	SYBR	None				21.4548835754395	21.4982604980469	0.04121981933713							0	1	1	3	14	1	82.2517395019531
B2	106FL	GAPDH	UNKNOWN	SYBR	None				21.5029811859131	21.4982604980469	0.04121981933713							0	1	1	3	14	1	82.2517395019531
B3	106FL	GAPDH	UNKNOWN	SYBR	None				21.5369167327881	21.4982604980469	0.04121981933713							0	1	1	3	14	1	82.4066314697266
																								
																								
																								
																								
																								
																								
B10	106FL	Hoxc13	UNKNOWN	SYBR	None	0.026242081075907	0.020537985488772	0.03353039547801	32.2678680419922	32.1004219055176	0.216695517301559		10.602162361145	0.127352550625801			5.25197410583496	0	1	1	3	24	1	85.3909149169922
B11	106FL	Hoxc13	UNKNOWN	SYBR	None	0.026242081075907	0.020537985488772	0.03353039547801	31.855676651001	32.1004219055176	0.216695517301559		10.602162361145	0.127352550625801			5.25197410583496	0	1	1	3	24	1	85.2409210205078
B12	106FL	Hoxc13	UNKNOWN	SYBR	None	0.026242081075907	0.020537985488772	0.03353039547801	32.1777229309082	32.1004219055176	0.216695517301559		10.602162361145	0.127352550625801			5.25197410583496	0	1	1	3	21	1	85.3902587890625
C1	107FL	GAPDH	UNKNOWN	SYBR	None				20.8536224365234	20.8686599731445	0.013835272751749							0	1	1	3	12	1	82.2517395019531
C2	107FL	GAPDH	UNKNOWN	SYBR	None				20.8808498382568	20.8686599731445	0.013835272751749							0	1	1	3	13	1	82.2517395019531
C3	107FL	GAPDH	UNKNOWN	SYBR	None				20.8715076446533	20.8686599731445	0.013835272751749							0	1	1	3	14	1	82.4066314697266
																								
																								
																								
																								
																								
																								
C10	107FL	Hoxc13	UNKNOWN	SYBR	None	0.022174561396241	0.017440102994442	0.028194282203913	31.7226600646973	31.7137985229492	0.215714633464813		10.8451385498047	0.12479879707098			5.49495077133179	0	1	1	3	24	1	85.3909149169922
C11	107FL	Hoxc13	UNKNOWN	SYBR	None	0.022174561396241	0.017440102994442	0.028194282203913	31.4937896728516	31.7137985229492	0.215714633464813		10.8451385498047	0.12479879707098			5.49495077133179	0	1	1	3	23	1	85.3902587890625
C12	107FL	Hoxc13	UNKNOWN	SYBR	None	0.022174561396241	0.017440102994442	0.028194282203913	31.9249458312988	31.7137985229492	0.215714633464813		10.8451385498047	0.12479879707098			5.49495077133179	0	1	1	3	24	1	85.3902587890625
D1	112FL	GAPDH	UNKNOWN	SYBR	None				20.9806652069092	20.9999942779541	0.019939344376326							0	1	1	3	13	1	82.2517395019531
