Block Type	96well																												
Chemistry	SYBR_GREEN																												
Experiment File Name	XXX																												
Experiment Run End Time	XXX																												
Instrument Type	steponeplus																												
Passive Reference	ROX																												
																													
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	HIGHSD	MTP
A1	37FL	GAPDH	UNKNOWN	SYBR	None				23.551607131958	23.4911632537842	0.057800728827715							0	1	1	3	16	1	82.4021072387695				N	N
A2	37FL	GAPDH	UNKNOWN	SYBR	None				23.4854488372803	23.4911632537842	0.057800728827715							0	1	1	3	16	1	82.4021072387695				N	N
A3	37FL	GAPDH	UNKNOWN	SYBR	None				23.436429977417	23.4911632537842	0.057800728827715							0	1	1	3	16	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
A10	37FL	Hoxc13	UNKNOWN	SYBR	None	1	0.726200103759766	1.37703096866608	30.0200824737549	29.6965026855469	0.282077997922897		6.20534133911133	0.166241720318794			0	0	1	1	3	22	1	85.6898498535156				N	N
A11	37FL	Hoxc13	UNKNOWN	SYBR	None	1	0.726200103759766	1.37703096866608	29.5669689178467	29.6965026855469	0.282077997922897		6.20534133911133	0.166241720318794			0	0	1	1	3	22	1	85.5396118164063				N	N
A12	37FL	Hoxc13	UNKNOWN	SYBR	None	1	0.726200103759766	1.37703096866608	29.5024585723877	29.6965026855469	0.282077997922897		6.20534133911133	0.166241720318794			0	0	1	1	3	21	1	85.5396118164063				N	N
B1	38FL	GAPDH	UNKNOWN	SYBR	None				21.9997253417969	22.0412292480469	0.044880535453558							0	1	1	3	15	1	82.4021072387695				N	N
B2	38FL	GAPDH	UNKNOWN	SYBR	None				22.0351066589355	22.0412292480469	0.044880535453558							0	1	1	3	14	1	82.4021072387695				N	N
B3	38FL	GAPDH	UNKNOWN	SYBR	None				22.0888576507568	22.0412292480469	0.044880535453558							0	1	1	3	14	1	82.5562973022461				N	N
																													
																													
																													
																													
																													
																													
B10	38FL	Hoxc13	UNKNOWN	SYBR	None	1.44884431362152	1.27883958816528	1.64144885540009	27.7670440673828	27.711669921875	0.102977558970451		5.67043876647949	0.064855329692364			-0.534902572631836	0	1	1	3	20	1	85.5404968261719				N	N
B11	38FL	Hoxc13	UNKNOWN	SYBR	None	1.44884431362152	1.27883958816528	1.64144885540009	27.5928516387939	27.711669921875	0.102977558970451		5.67043876647949	0.064855329692364			-0.534902572631836	0	1	1	3	19	1	85.5396118164063				N	N
B12	38FL	Hoxc13	UNKNOWN	SYBR	None	1.44884431362152	1.27883958816528	1.64144885540009	27.775110244751	27.711669921875	0.102977558970451		5.67043876647949	0.064855329692364			-0.534902572631836	0	1	1	3	20	1	85.5396118164063				N	N
