Block Type	96well																												
Chemistry	SYBR_GREEN																												
Experiment File Name	XXX																												
Experiment Run End Time	XXX																												
Instrument Type	steponeplus																												
Passive Reference	ROX																												
																													
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	AMPNC	MTP
A1	17FL	GAPDH	UNKNOWN	SYBR	None				24.0048999786377	23.9735355377197	0.032276637852192							0	1	1	3	16	1	82.4058990478516				N	N
A2	17FL	GAPDH	UNKNOWN	SYBR	None				23.9752902984619	23.9735355377197	0.032276637852192							0	1	1	3	16	1	82.2565689086914				N	N
A3	17FL	GAPDH	UNKNOWN	SYBR	None				23.9404182434082	23.9735355377197	0.032276637852192							0	1	1	3	16	1	82.5551910400391				N	N
																													
																													
																													
																													
																													
																													
A10	17FL	Hoxc13	UNKNOWN	SYBR	None	1.03995728492737	0.851247370243073	1.27050161361694	31.9230003356934	31.79909324646	0.177296429872513		7.82555770874023	0.104044549167156			-0.056524276733399	0	1	1	3	24	1	85.3954925537109				N	N
A11	17FL	Hoxc13	UNKNOWN	SYBR	None	1.03995728492737	0.851247370243073	1.27050161361694	31.596004486084	31.79909324646	0.177296429872513		7.82555770874023	0.104044549167156			-0.056524276733399	0	1	1	3	24	1	85.3904266357422				N	N
A12	17FL	Hoxc13	UNKNOWN	SYBR	None	1.03995728492737	0.851247370243073	1.27050161361694	31.8782768249512	31.79909324646	0.177296429872513		7.82555770874023	0.104044549167156			-0.056524276733399	0	1	1	3	24	1	85.3904266357422				N	N
B1	18FL	GAPDH	UNKNOWN	SYBR	None				23.4724006652832	23.4799404144287	0.006533528212458							0	1	1	3	16	1	82.4058990478516				N	N
B2	18FL	GAPDH	UNKNOWN	SYBR	None				23.4839038848877	23.4799404144287	0.006533528212458							0	1	1	3	16	1	82.2565689086914				N	N
B3	18FL	GAPDH	UNKNOWN	SYBR	None				23.4835205078125	23.4799404144287	0.006533528212458							0	1	1	3	16	1	82.5551910400391				N	N
																													
																													
																													
																													
																													
																													
B10	18FL	Hoxc13	UNKNOWN	SYBR	None	2.22445392608643	2.03758978843689	2.4284553527832	30.2973766326904	30.2085723876953	0.078699380159378		6.72863054275513	0.045593418180943			-1.15345132350922	0	1	1	3	22	1	85.3954925537109				N	N
B11	18FL	Hoxc13	UNKNOWN	SYBR	None	2.22445392608643	2.03758978843689	2.4284553527832	30.1474685668945	30.2085723876953	0.078699380159378		6.72863054275513	0.045593418180943			-1.15345132350922	0	1	1	3	22	1	85.241096496582				N	N
B12	18FL	Hoxc13	UNKNOWN	SYBR	None	2.22445392608643	2.03758978843689	2.4284553527832	30.180871963501	30.2085723876953	0.078699380159378		6.72863054275513	0.045593418180943			-1.15345132350922	0	1	1	3	22	1	85.241096496582				N	N
C1	19FL	GAPDH	UNKNOWN	SYBR	None				23.0298633575439	23.0355281829834	0.010172314010561							0	1	1	3	15	1	82.4058990478516				N	N
C2	19FL	GAPDH	UNKNOWN	SYBR	None				23.0472717285156	23.0355281829834	0.010172314010561							0	1	1	3	16	1	82.2565689086914				N	N
C3	19FL	GAPDH	UNKNOWN	SYBR	None				23.0294494628906	23.0355281829834	0.010172314010561							0	1	1	3	15	1	82.5551910400391				N	N
																													
																													
																													
																													
																													
																													
C10	19FL	Hoxc13	UNKNOWN	SYBR	None	1.83389973640442	1.73572552204132	1.93762683868408	30.0362930297852	30.0426940917969	0.048461616039276		7.00716733932495	0.028589066118002			-0.874914824962616	0	1	1	3	22	1	85.3954925537109				N	N
C11	19FL	Hoxc13	UNKNOWN	SYBR	None	1.83389973640442	1.73572552204132	1.93762683868408	29.9977531433105	30.0426940917969	0.048461616039276		7.00716733932495	0.028589066118002			-0.874914824962616	0	1	1	3	22	1	85.3904266357422				N	N
C12	19FL	Hoxc13	UNKNOWN	SYBR	None	1.83389973640442	1.73572552204132	1.93762683868408	30.0940399169922	30.0426940917969	0.048461616039276		7.00716733932495	0.028589066118002			-0.874914824962616	0	1	1	3	22	1	85.3904266357422				N	N
D1	20FL	GAPDH	UNKNOWN	SYBR	None				24.9618186950684	24.9492645263672	0.011274554766715							0	1	1	3	17	1	82.2565689086914				N	N
D2	20FL	GAPDH	UNKNOWN	SYBR	None				24.9400024414062	24.9492645263672	0.011274554766715							0	1	1	3	17	1	82.2565689086914				N	N
D3	20FL	GAPDH	UNKNOWN	SYBR	None				24.945972442627	24.9492645263672	0.011274554766715							0	1	1	3	17	1	82.4058380126953				N	N
																													
																													
																													
																													
																													
																													
D10	20FL	Hoxc13	UNKNOWN	SYBR	None	1.44039499759674	1.20020771026611	1.72864890098572	32.4452743530273	32.3048820495605	0.16379426419735		7.35561752319336	0.094790436327458			-0.526464462280273	0	1	1	3	24	1	85.3954925537109				N	N
D11	20FL	Hoxc13	UNKNOWN	SYBR	None	1.44039499759674	1.20020771026611	1.72864890098572	32.1249313354492	32.3048820495605	0.16379426419735		7.35561752319336	0.094790436327458			-0.526464462280273	0	1	1	3	24	1	85.241096496582				N	N
D12	20FL	Hoxc13	UNKNOWN	SYBR	None	1.44039499759674	1.20020771026611	1.72864890098572	32.3444404602051	32.3048820495605	0.16379426419735		7.35561752319336	0.094790436327458			-0.526464462280273	0	1	1	3	24	1	85.241096496582				N	N
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
H1		GAPDH	NTC	SYBR	None				38.1457786560059									0	1	1	3	31	1	78.0754241943359				N	N
H2		GAPDH	NTC	SYBR	None				34.825008392334									0	1	1	3	27	1	78.8220520019531				Y	N
H3		Krt14	NTC	SYBR	None				38.0226249694824									0	1	1	3	30	1	75.5357894897461				N	N
H4		Krt14	NTC	SYBR	None				36.5497665405273									0	1	1	3	29	1	75.8344879150391				N	N
H5		Tbp	NTC	SYBR	None				Undetermined									0	1	1	3	35	1	61.3478736877441	81.0638580322266	78.3753128051758		N	Y
H6		Tbp	NTC	SYBR	None				38.9104919433594									0	1	1	3	31	1	77.7778625488281				N	N
H7		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	35	1	78.5213165283203	61.3477210998535	71.8012161254883		N	Y
H8		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	39	1	61.3477210998535	78.0733108520508	70.0091857910156		N	Y
 
