Block Type	96well																											
Chemistry	SYBR_GREEN																											
Experiment File Name	XXX																											
Experiment Run End Time	XXX																											
Instrument Type	steponeplus																											
Passive Reference	ROX																											
																												
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	MTP
A1	S12	GAPDH	UNKNOWN	SYBR	None				21.1159954071045	21.0843353271484	0.05555971339345							0	1	1	3	13	1	82.5498657226563				N
A2	S12	GAPDH	UNKNOWN	SYBR	None				21.1168270111084	21.0843353271484	0.05555971339345							0	1	1	3	13	1	82.5498657226563				N
A3	S12	GAPDH	UNKNOWN	SYBR	None				21.0201816558838	21.0843353271484	0.05555971339345							0	1	1	3	13	1	82.5539474487305				N
																												
																												
																												
																												
																												
																												
A10	S12	Hoxc13	UNKNOWN	SYBR	None	1	0.805923879146576	1.24081206321716	31.8953552246094	31.6863040924072	0.186073288321495		10.6019706726074	0.112116239964962			0	0	1	1	3	24	1	85.5414352416992				N
A11	S12	Hoxc13	UNKNOWN	SYBR	None	1	0.805923879146576	1.24081206321716	31.624755859375	31.6863040924072	0.186073288321495		10.6019706726074	0.112116239964962			0	0	1	1	3	23	1	85.5435638427734				N
A12	S12	Hoxc13	UNKNOWN	SYBR	None	1	0.805923879146576	1.24081206321716	31.5388050079346	31.6863040924072	0.186073288321495		10.6019706726074	0.112116239964962			0	0	1	1	3	23	1	85.5435638427734				N
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
C1	S14	GAPDH	UNKNOWN	SYBR	None				21.8413867950439	21.8580551147461	0.014845605939627							0	1	1	3	14	1	82.4005279541016				N
C2	S14	GAPDH	UNKNOWN	SYBR	None				21.862922668457	21.8580551147461	0.014845605939627							0	1	1	3	14	1	82.4005279541016				N
C3	S14	GAPDH	UNKNOWN	SYBR	None				21.8698558807373	21.8580551147461	0.014845605939627							0	1	1	3	14	1	82.5539474487305				N
																												
																												
																												
																												
																												
																												
C10	S14	Hoxc13	UNKNOWN	SYBR	None	4.24285316467285	4.00498771667481	4.49484539031982	30.4324016571045	30.3749923706055	0.049758899956942		8.51693630218506	0.029979661107063			-2.08503460884094	0	1	1	3	22	1	85.5414352416992				N
C11	S14	Hoxc13	UNKNOWN	SYBR	None	4.24285316467285	4.00498771667481	4.49484539031982	30.3442935943603	30.3749923706055	0.049758899956942		8.51693630218506	0.029979661107063			-2.08503460884094	0	1	1	3	22	1	85.5435638427734				N
C12	S14	Hoxc13	UNKNOWN	SYBR	None	4.24285316467285	4.00498771667481	4.49484539031982	30.3482780456543	30.3749923706055	0.049758899956942		8.51693630218506	0.029979661107063			-2.08503460884094	0	1	1	3	22	1	85.5435638427734				N
D1	S16	GAPDH	UNKNOWN	SYBR	None				20.5559997558594	20.5643157958984	0.016652539372444							0	1	1	3	13	1	82.4005279541016				N
D2	S16	GAPDH	UNKNOWN	SYBR	None				20.5534591674805	20.5643157958984	0.016652539372444							0	1	1	3	12	1	82.4005279541016				N
D3	S16	GAPDH	UNKNOWN	SYBR	None				20.5834884643555	20.5643157958984	0.016652539372444							0	1	1	3	13	1	82.5539474487305				N
																												
																												
																												
																												
																												
																												
D10	S16	Hoxc13	UNKNOWN	SYBR	None	4.74480867385864	4.43010854721069	5.08186435699463	28.8725357055664	28.9199371337891	0.059477657079697		8.35562038421631	0.035659961402416			-2.24635004997253	0	1	1	3	21	1	85.5414352416992				N
D11	S16	Hoxc13	UNKNOWN	SYBR	None	4.74480867385864	4.43010854721069	5.08186435699463	28.9005966186523	28.9199371337891	0.059477657079697		8.35562038421631	0.035659961402416			-2.24635004997253	0	1	1	3	20	1	85.5435638427734				N
D12	S16	Hoxc13	UNKNOWN	SYBR	None	4.74480867385864	4.43010854721069	5.08186435699463	28.9866771697998	28.9199371337891	0.059477657079697		8.35562038421631	0.035659961402416			-2.24635004997253	0	1	1	3	21	1	85.3941955566406				N
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
G1	S25	GAPDH	UNKNOWN	SYBR	None				25.5917587280273	25.6397953033447	0.052669227123261							0	1	1	3	18	1	82.6992034912109				N
G2	S25	GAPDH	UNKNOWN	SYBR	None				25.6315116882324	25.6397953033447	0.052669227123261							0	1	1	3	18	1	82.5498657226563				N
G3	S25	GAPDH	UNKNOWN	SYBR	None				25.6961154937744	25.6397953033447	0.052669227123261							0	1	1	3	18	1	82.5539474487305				N
																												
																												
																												
																												
																												
																												
G10	S25	Hoxc13	UNKNOWN	SYBR	None	0.212996438145638	0.18669718503952	0.243000358343124	38.5389938354492	38.4728660583496	0.106274232268333		12.8330698013306	0.068479336798191			2.23109889030457	0	1	1	3	30	1	85.9894485473633	70.9062881469727			Y
G11	S25	Hoxc13	UNKNOWN	SYBR	None	0.212996438145638	0.18669718503952	0.243000358343124	38.3502769470215	38.4728660583496	0.106274232268333		12.8330698013306	0.068479336798191			2.23109889030457	0	1	1	3	30	1	85.8423004150391	71.8016891479492			Y
G12	S25	Hoxc13	UNKNOWN	SYBR	None	0.212996438145638	0.18669718503952	0.243000358343124	38.5293235778809	38.4728660583496	0.106274232268333		12.8330698013306	0.068479336798191			2.23109889030457	0	1	1	3	31	1	85.6929321289062				N
H1	S28	GAPDH	UNKNOWN	SYBR	None				22.6313037872314	22.6028079986572	0.026306658983231							0	1	1	3	15	1	82.6992034912109				N
H2	S28	GAPDH	UNKNOWN	SYBR	None				22.5794467926025	22.6028079986572	0.026306658983231							0	1	1	3	15	1	82.6992034912109				N
H3	S28	GAPDH	UNKNOWN	SYBR	None				22.597677230835	22.6028079986572	0.026306658983231							0	1	1	3	15	1	82.7033081054688				N
																												
																												
																												
																												
																												
																												
H10	S28	Hoxc13	UNKNOWN	SYBR	None	2.93042635917664	2.33333587646484	3.68030953407288	31.8882217407227	31.6536693572998	0.20337139070034		9.05086040496826	0.118394769728184			-1.55111062526703	0	1	1	3	24	1	85.6907730102539				N
H11	S28	Hoxc13	UNKNOWN	SYBR	None	2.93042635917664	2.33333587646484	3.68030953407288	31.5264530181885	31.6536693572998	0.20337139070034		9.05086040496826	0.118394769728184			-1.55111062526703	0	1	1	3	23	1	85.5435638427734				N
H12	S28	Hoxc13	UNKNOWN	SYBR	None	2.93042635917664	2.33333587646484	3.68030953407288	31.5463333129883	31.6536693572998	0.20337139070034		9.05086040496826	0.118394769728184			-1.55111062526703	0	1	1	3	23	1	85.6929321289062				N
