Block Type	96well																													
Chemistry	SYBR_GREEN																													
Experiment File Name	XXX																													
Experiment Run End Time	XXX																													
Instrument Type	steponeplus																													
Passive Reference	ROX																													
																														
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	OUTLIERRG	EXPFAIL	MTP
A1	32FL	GAPDH	UNKNOWN	SYBR	None				22.3162994384766	22.2818298339844	0.041415937244892							0	1	1	3	15	1	82.4043121337891				N	N	N
A2	32FL	GAPDH	UNKNOWN	SYBR	None				22.293306350708	22.2818298339844	0.041415937244892							0	1	1	3	15	1	82.4043121337891				N	N	N
A3	32FL	GAPDH	UNKNOWN	SYBR	None				22.2358875274658	22.2818298339844	0.041415937244892							0	1	1	3	15	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
A10	32FL	Hoxc13	UNKNOWN	SYBR	None	0.015472405590117	0.01156632322818	0.020697617903352	34.4850120544434	34.3093605041504	0.317147463560104		9.59528541564941	0.188393652439117			6.01415872573853	0	1	1	3	26	1	85.6883316040039				N	N	N
A11	32FL	Hoxc13	UNKNOWN	SYBR	None	0.015472405590117	0.01156632322818	0.020697617903352	33.9432525634766	34.3093605041504	0.317147463560104		9.59528541564941	0.188393652439117			6.01415872573853	0	1	1	3	26	1	85.6905288696289				Y	N	N
A12	32FL	Hoxc13	UNKNOWN	SYBR	None	0.015472405590117	0.01156632322818	0.020697617903352	34.4998245239258	34.3093605041504	0.317147463560104		9.59528541564941	0.188393652439117			6.01415872573853	0	1	1	3	27	1	85.6905288696289				N	N	N
B1	48FL	GAPDH	UNKNOWN	SYBR	None				24.2414264678955	24.2334060668945	0.027687326073647							0	1	1	3	17	1	82.4043121337891				N	N	N
B2	48FL	GAPDH	UNKNOWN	SYBR	None				24.2561988830566	24.2334060668945	0.027687326073647							0	1	1	3	17	1	82.4043121337891				N	N	N
B3	48FL	GAPDH	UNKNOWN	SYBR	None				24.2025947570801	24.2334060668945	0.027687326073647							0	1	1	3	17	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
B10	48FL	Hoxc13	UNKNOWN	SYBR	None	0.579716444015503	0.519985914230347	0.646308243274689	30.9583549499512	30.8708896636963	0.102409474551678		4.36770677566528	0.07040623575449			0.786580622196198	0	1	1	3	23	1	85.6883316040039				N	N	N
B11	48FL	Hoxc13	UNKNOWN	SYBR	None	0.579716444015503	0.519985914230347	0.646308243274689	30.8960762023926	30.8708896636963	0.102409474551678		4.36770677566528	0.07040623575449			0.786580622196198	0	1	1	3	23	1	85.6905288696289				N	N	N
B12	48FL	Hoxc13	UNKNOWN	SYBR	None	0.579716444015503	0.519985914230347	0.646308243274689	30.7582359313965	30.8708896636963	0.102409474551678		4.36770677566528	0.07040623575449			0.786580622196198	0	1	1	3	23	1	85.6905288696289				N	N	N
C1	51FL	GAPDH	UNKNOWN	SYBR	None				24.1729335784912	24.161901473999	0.009850778616965							0	1	1	3	17	1	82.4043121337891				N	N	N
C2	51FL	GAPDH	UNKNOWN	SYBR	None				24.158784866333	24.161901473999	0.009850778616965							0	1	1	3	17	1	82.4043121337891				N	N	N
C3	51FL	GAPDH	UNKNOWN	SYBR	None				24.1539859771729	24.161901473999	0.009850778616965							0	1	1	3	17	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
C10	51FL	Hoxc13	UNKNOWN	SYBR	None	1	0.928807437419891	1.07664942741394	29.7417430877686	29.722188949585	0.060011718422175		3.58112621307373	0.047819525003433			0	0	1	1	3	21	1	85.6883316040039				N	N	N
C11	51FL	Hoxc13	UNKNOWN	SYBR	None	1	0.928807437419891	1.07664942741394	29.7699813842773	29.722188949585	0.060011718422175		3.58112621307373	0.047819525003433			0	0	1	1	3	22	1	85.6905288696289				N	N	N
C12	51FL	Hoxc13	UNKNOWN	SYBR	None	1	0.928807437419891	1.07664942741394	29.6548366546631	29.722188949585	0.060011718422175		3.58112621307373	0.047819525003433			0	0	1	1	3	22	1	85.6905288696289				N	N	N
D1	52FL	GAPDH	UNKNOWN	SYBR	None				23.9826145172119	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.4043121337891				N	N	N
D2	52FL	GAPDH	UNKNOWN	SYBR	None				23.9811611175537	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.4043121337891				N	N	N
D3	52FL	GAPDH	UNKNOWN	SYBR	None				23.9849605560303	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
D10	52FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	30.8052978515625	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	23	1	85.6883316040039				N	N	N
D11	52FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	30.5776271820068	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	22	1	85.6905288696289				N	N	N
D12	52FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	30.8831596374512	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	22	1	85.5411834716797				N	N	N
E1	53FL	GAPDH	UNKNOWN	SYBR	None				23.6794528961182	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.5536651611328				N	N	N
E2	53FL	GAPDH	UNKNOWN	SYBR	None				23.708475112915	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.4043121337891				N	N	N
E3	53FL	GAPDH	UNKNOWN	SYBR	None				23.8519306182861	23.864767074585	0.141996741294861							0	1	1	3	16	1	82.4070663452148				N	N	N
																														
																														
																														
																														
																														
																														
E10	53FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	29.9771671295166	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	22	1	85.8376617431641				N	N	N
E11	53FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	29.9019165039062	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	22	1	85.6905288696289				N	N	N
E12	53FL	Hoxc13	UNKNOWN	SYBR	None	0.528204202651978	0.379045397043228	0.736058712005615	29.8644504547119	30.3349361419678	0.4727683365345		4.5019588470459	0.230836272239685			0.920832335948944	0	1	1	3	22	1	85.6905288696289				N	N	N
F1	54FL	GAPDH	UNKNOWN	SYBR	None				24.7565937042236	24.7447891235352	0.11250015348196							0	1	1	3	17	1	82.5536651611328				N	N	N
F2	54FL	GAPDH	UNKNOWN	SYBR	None				24.850923538208	24.7447891235352	0.11250015348196							0	1	1	3	18	1	82.4043121337891				N	N	N
F3	54FL	GAPDH	UNKNOWN	SYBR	None				24.6268539428711	24.7447891235352	0.11250015348196							0	1	1	3	17	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
F10	54FL	Hoxc13	UNKNOWN	SYBR	None	0.354572594165802	0.298924535512924	0.420580148696899	32.010555267334	31.8278903961182	0.176736146211624		5.07697343826294	0.110540568828583			1.49584710597992	0	1	1	3	24	1	85.8376617431641				N	N	N
F11	54FL	Hoxc13	UNKNOWN	SYBR	None	0.354572594165802	0.298924535512924	0.420580148696899	31.8153667449951	31.8278903961182	0.176736146211624		5.07697343826294	0.110540568828583			1.49584710597992	0	1	1	3	24	1	85.6905288696289				N	N	N
F12	54FL	Hoxc13	UNKNOWN	SYBR	None	0.354572594165802	0.298924535512924	0.420580148696899	31.6577491760254	31.8278903961182	0.176736146211624		5.07697343826294	0.110540568828583			1.49584710597992	0	1	1	3	23	1	85.6905288696289				N	N	N
G1	55FL	GAPDH	UNKNOWN	SYBR	None				24.1191120147705	24.1029300689697	0.050274204462767							0	1	1	3	17	1	82.5536651611328				N	N	N
G2	55FL	GAPDH	UNKNOWN	SYBR	None				24.1431217193603	24.1029300689697	0.050274204462767							0	1	1	3	17	1	82.5536651611328				N	N	N
G3	55FL	GAPDH	UNKNOWN	SYBR	None				24.046558380127	24.1029300689697	0.050274204462767							0	1	1	3	17	1	82.5564270019531				N	N	N
																														
																														
																														
																														
																														
																														
G10	55FL	Hoxc13	UNKNOWN	SYBR	None				Undetermined									0	1	1	3	35	1	78.5203018188477				N	N	N
G11	55FL	Hoxc13	UNKNOWN	SYBR	None				Undetermined									0	1	1	3	39	1	61.3474922180176	71.2041854858398			N	Y	Y
G12	55FL	Hoxc13	UNKNOWN	SYBR	None				Undetermined									0	1	1	3	39	1	61.3474922180176	77.4766235351563			N	Y	Y
H1		GAPDH	NTC	SYBR	None				37.6271820068359									0	1	1	3	30	1	78.5211029052734				N	N	N
H2		GAPDH	NTC	SYBR	None				36.4265213012695									0	1	1	3	29	1	78.0730438232422				N	N	N
																														
																														
																														
																														
H7		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	39	1	61.3470993041992	77.7737274169922	82.1043853759766		N	N	Y
H8		Hoxc13	NTC	SYBR	None				Undetermined									0	1	1	3	39	1	61.3470993041992				N	N	N

