Block Type	96well																													
Chemistry	SYBR_GREEN																													
Experiment File Name	XXX																													
Experiment Run End Time	XXX																													
Instrument Type	steponeplus																													
Passive Reference	ROX																													
																														
Well	Sample Name	Target Name	Task	Reporter	Quencher	RQ	RQ Min	RQ Max	Cт	Cт Mean	Cт SD	ΔCт	ΔCт Mean	ΔCт SE	HK Control ΔCт Mean	HK Control ΔCт SE	ΔΔCт	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Efficiency	Tm1	Tm2	Tm3	Comments	AMPNC	HIGHSD	MTP
A1	63FL	GAPDH	UNKNOWN	SYBR	None				22.9898891448975	22.9836139678955	0.009843940846622							0	1	1	3	16	1	82.2540893554688				N	N	N
A2	63FL	GAPDH	UNKNOWN	SYBR	None				22.9886856079102	22.9836139678955	0.009843940846622							0	1	1	3	15	1	82.2540893554688				N	N	N
A3	63FL	GAPDH	UNKNOWN	SYBR	None				22.9722690582275	22.9836139678955	0.009843940846622							0	1	1	3	15	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
A10	63FL	Hoxc13	UNKNOWN	SYBR	None	1	0.894101738929749	1.11844098567963	28.2063159942627	28.0760288238525	0.119703829288483		2.83323001861572	0.072477117180824			0	0	1	1	3	20	1	85.541389465332				N	N	N
A11	63FL	Hoxc13	UNKNOWN	SYBR	None	1	0.894101738929749	1.11844098567963	28.0508670806885	28.0760288238525	0.119703829288483		2.83323001861572	0.072477117180824			0	0	1	1	3	20	1	85.3927764892578				N	N	N
A12	63FL	Hoxc13	UNKNOWN	SYBR	None	1	0.894101738929749	1.11844098567963	27.9709091186523	28.0760288238525	0.119703829288483		2.83323001861572	0.072477117180824			0	0	1	1	3	20	1	85.3927764892578				N	N	N
B1	67FL	GAPDH	UNKNOWN	SYBR	None				24.7770366668701	24.8938579559326	0.141026109457016							0	1	1	3	17	1	82.2540893554688				N	N	N
B2	67FL	GAPDH	UNKNOWN	SYBR	None				24.8540191650391	24.8938579559326	0.141026109457016							0	1	1	3	17	1	82.2540893554688				N	N	N
B3	67FL	GAPDH	UNKNOWN	SYBR	None				25.0505180358887	24.8938579559326	0.141026109457016							0	1	1	3	17	1	82.258171081543				N	N	N
																														
																														
																														
																														
																														
																														
B10	67FL	Hoxc13	UNKNOWN	SYBR	None	0.533892571926117	0.449684679508209	0.633869290351868	30.9871788024902	30.8475952148437	0.16023525595665		3.73860836029053	0.111140191555023			0.905378580093384	0	1	1	3	23	1	85.3920593261719				N	N	N
B11	67FL	Hoxc13	UNKNOWN	SYBR	None	0.533892571926117	0.449684679508209	0.633869290351868	30.6726245880127	30.8475952148437	0.16023525595665		3.73860836029053	0.111140191555023			0.905378580093384	0	1	1	3	23	1	85.2434387207031				N	N	N
B12	67FL	Hoxc13	UNKNOWN	SYBR	None	0.533892571926117	0.449684679508209	0.633869290351868	30.882984161377	30.8475952148437	0.16023525595665		3.73860836029053	0.111140191555023			0.905378580093384	0	1	1	3	23	1	85.2434387207031				N	N	N
C1	74FL	GAPDH	UNKNOWN	SYBR	None				22.3633556365967	22.3635921478271	0.005152937956154							0	1	1	3	14	1	82.2540893554688				N	N	N
C2	74FL	GAPDH	UNKNOWN	SYBR	None				22.3688583374023	22.3635921478271	0.005152937956154							0	1	1	3	15	1	82.2540893554688				N	N	N
C3	74FL	GAPDH	UNKNOWN	SYBR	None				22.3585605621338	22.3635921478271	0.005152937956154							0	1	1	3	14	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
C10	74FL	Hoxc13	UNKNOWN	SYBR	None	0.007162943016738	0.006175857037306	0.008307794108987	34.8343658447266	34.9533348083496	0.162547558546066		9.95846176147461	0.096005260944367			7.12523174285889	0	1	1	3	27	1	85.3920593261719				N	N	N
C11	74FL	Hoxc13	UNKNOWN	SYBR	None	0.007162943016738	0.006175857037306	0.008307794108987	34.887092590332	34.9533348083496	0.162547558546066		9.95846176147461	0.096005260944367			7.12523174285889	0	1	1	3	27	1	85.3927764892578				N	N	N
C12	74FL	Hoxc13	UNKNOWN	SYBR	None	0.007162943016738	0.006175857037306	0.008307794108987	35.138542175293	34.9533348083496	0.162547558546066		9.95846176147461	0.096005260944367			7.12523174285889	0	1	1	3	27	1	85.2434387207031				N	N	N
D1	75FL	GAPDH	UNKNOWN	SYBR	None				23.4146270751953	23.4263324737549	0.020561872050166							0	1	1	3	16	1	82.2540893554688				N	N	N
D2	75FL	GAPDH	UNKNOWN	SYBR	None				23.4500751495361	23.4263324737549	0.020561872050166							0	1	1	3	16	1	82.2540893554688				N	N	N
D3	75FL	GAPDH	UNKNOWN	SYBR	None				23.4142971038818	23.4263324737549	0.020561872050166							0	1	1	3	16	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
D10	75FL	Hoxc13	UNKNOWN	SYBR	None	0.004875887650996	0.002816553693265	0.008440911769867	37.3102989196777	36.6066589355469	0.614607095718384		10.5133495330811	0.355334162712097			7.68011951446533	0	1	1	3	30	1	85.541389465332	77.0296249389648			N	Y	Y
D11	75FL	Hoxc13	UNKNOWN	SYBR	None	0.004875887650996	0.002816553693265	0.008440911769867	36.1747703552246	36.6066589355469	0.614607095718384		10.5133495330811	0.355334162712097			7.68011951446533	0	1	1	3	28	1	85.2434387207031				N	Y	N
D12	75FL	Hoxc13	UNKNOWN	SYBR	None	0.004875887650996	0.002816553693265	0.008440911769867	36.3349113464355	36.6066589355469	0.614607095718384		10.5133495330811	0.355334162712097			7.68011951446533	0	1	1	3	28	1	85.2434387207031				N	Y	N
E1	76FL	GAPDH	UNKNOWN	SYBR	None				23.8987731933594	23.9133148193359	0.015993615612388							0	1	1	3	16	1	82.2540893554688				N	N	N
E2	76FL	GAPDH	UNKNOWN	SYBR	None				23.9304447174072	23.9133148193359	0.015993615612388							0	1	1	3	16	1	82.2540893554688				N	N	N
E3	76FL	GAPDH	UNKNOWN	SYBR	None				23.9107265472412	23.9133148193359	0.015993615612388							0	1	1	3	16	1	82.4075164794922				N	N	N
																														
																														
																														
																														
																														
																														
