Block Type	96well																			
Chemistry	SYBR_GREEN																			
Experiment File Name	XXX																			
Experiment Run End Time	XXX																			
Instrument Type	steponeplus																			
Passive Reference	ROX																			
																				
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Tm1	Tm2	Tm3	Comments
A1																				
A2																				
A3																				
A4																				
A5																				
A6																				
A7																				
A8																				
A9																				
A10																				
A11																				
A12																				
B1																				
B2																				
B3	S2C	GAPDH	STANDARD	SYBR	None	21.639289855957	21.5940799713135	0.065309002995491	1			0	1	1	3	14	82.4032592773438			
B4	S2C	GAPDH	STANDARD	SYBR	None	21.6237506866455	21.5940799713135	0.065309002995491	1			0	1	1	3	14	82.4032592773438			
B5	S2C	GAPDH	STANDARD	SYBR	None	21.5192050933838	21.5940799713135	0.065309002995491	1			0	1	1	3	13	82.2545013427734			
B6	S20C	GAPDH	STANDARD	SYBR	None	21.8722648620605	21.8953800201416	0.030257169157267	1			0	1	1	3	14	82.2545013427734			
B7	S20C	GAPDH	STANDARD	SYBR	None	21.8842506408691	21.8953800201416	0.030257169157267	1			0	1	1	3	14	82.4045257568359			
B8	S20C	GAPDH	STANDARD	SYBR	None	21.9296264648437	21.8953800201416	0.030257169157267	1			0	1	1	3	14	82.4045257568359			
B9																				
B10																				
B11																				
B12																				
C1																				
C2																				
C3	S2C	GAPDH	STANDARD	SYBR	None	22.817346572876	22.7614288330078	0.073631092905998	0.5			0	1	1	3	15	82.4032592773438			
C4	S2C	GAPDH	STANDARD	SYBR	None	22.7889385223389	22.7614288330078	0.073631092905998	0.5			0	1	1	3	15	82.4032592773438			
C5	S2C	GAPDH	STANDARD	SYBR	None	22.6780052185059	22.7614288330078	0.073631092905998	0.5			0	1	1	3	15	82.2545013427734			
C6	S20C	GAPDH	STANDARD	SYBR	None	22.98681640625	22.9645290374756	0.019844744354487	0.5			0	1	1	3	15	82.2545013427734			
C7	S20C	GAPDH	STANDARD	SYBR	None	22.9579906463623	22.9645290374756	0.019844744354487	0.5			0	1	1	3	15	82.4045257568359			
C8	S20C	GAPDH	STANDARD	SYBR	None	22.9487762451172	22.9645290374756	0.019844744354487	0.5			0	1	1	3	15	82.4045257568359			
C9																				
C10																				
C11																				
C12																				
D1																				
D2																				
D3	S2C	GAPDH	STANDARD	SYBR	None	23.7179222106934	23.6971588134766	0.021602662280202	0.25			0	1	1	3	16	82.2538986206055			
D4	S2C	GAPDH	STANDARD	SYBR	None	23.6748046875	23.6971588134766	0.021602662280202	0.25			0	1	1	3	16	82.2538986206055			
D5	S2C	GAPDH	STANDARD	SYBR	None	23.6987476348877	23.6971588134766	0.021602662280202	0.25			0	1	1	3	16	82.1051635742188			
D6	S20C	GAPDH	STANDARD	SYBR	None	23.9907512664795	23.9886856079102	0.002970359288156	0.25			0	1	1	3	16	82.2545013427734			
D7	S20C	GAPDH	STANDARD	SYBR	None	23.9852809906006	23.9886856079102	0.002970359288156	0.25			0	1	1	3	16	82.4045257568359			
